"endTime","artistName","trackName","msPlayed"
"2022-03-18 09:52","blackbear","I feel 2 much",49016
"2022-03-18 09:56","Coldplay","My Universe",228000
"2022-03-18 10:19","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",91163
"2022-03-18 22:19","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",116255
"2022-03-18 22:22","BTS","Permission to Dance",187585
"2022-03-18 22:41","Twenty One Pilots","Shy Away",69430
"2022-03-18 22:42","Twenty One Pilots","Shy Away",105922
"2022-03-18 22:43","Twenty One Pilots","The Run and Go",525
"2022-03-18 22:43","Coldplay","My Universe - SUGA's Remix",49903
"2022-03-18 22:47","Rex Orange County","Face to Face",219800
"2022-03-18 22:51","Carly Rae Jepsen","First Time",215800
"2022-03-18 22:54","The Maine","Numb Without You",212835
"2022-03-18 22:59","The Maine","Don't Come Down",192819
"2022-03-18 23:03","Lewis Capaldi","Someone You Loved",4471
"2022-03-18 23:03","All Time Low","Somewhere in Neverland",225292
"2022-03-18 23:03","Rex Orange County","Never Had The Balls",8968
"2022-03-18 23:06","The Maine","Diet Soda Society",180187
"2022-03-18 23:10","Khalid","Another Sad Love Song",244739
"2022-03-18 23:11","Twenty One Pilots","The Judge",20675
"2022-03-18 23:11","Rex Orange County","Apricot Princess",2043
"2022-03-18 23:13","Liam Payne","Bedroom Floor",150374
"2022-03-18 23:18","Twenty One Pilots","The Hype",265359
"2022-03-18 23:19","Khalid","Saturday Nights",63386
"2022-03-18 23:21","Moha K","Elle (pt.1)",35184
"2022-03-18 23:21","Rex Orange County","Best Friend",122830
"2022-03-18 23:21","Rex Orange County","Uno",3131
"2022-03-18 23:25","Rex Orange County","Sycamore Girl",3777
"2022-03-18 23:25","The Maine","Black Butterflies and Déjà Vu",0
"2022-03-18 23:25","The 1975","How To Draw / Petrichor",3110
"2022-03-18 23:25","The Maine","Bad Behavior",190308
"2022-03-18 23:27","Rex Orange County","Loving Is Easy (feat. Benny Sings)",155714
"2022-03-18 23:31","Rex Orange County","Television / So Far So Good",236252
"2022-03-18 23:34","Panic! At The Disco","Say Amen (Saturday Night)",189186
"2022-03-18 23:38","Khalid","Young Dumb & Broke",202525
"2022-03-18 23:38","PNL","Zoulou tchaing",27250
"2022-03-18 23:39","Rex Orange County","4 Seasons",60834
"2022-03-18 23:39","Rex Orange County","Waiting Room",4338
"2022-03-18 23:43","Khalid","Free Spirit",20712
"2022-03-18 23:43","Fall Out Boy","Lake Effect Kid",220533
"2022-03-18 23:47","Khalid","Talk (feat. Disclosure)",197556
"2022-03-18 23:50","Twenty One Pilots","Smithereens",177030
"2022-03-18 23:53","Twenty One Pilots","Stressed Out",202333
"2022-03-18 23:56","Twenty One Pilots","We Don't Believe What's on TV",177200
"2022-03-18 23:58","Khalid","Outta My Head (with John Mayer)",114165
"2022-03-18 23:59","Rex Orange County","You've Got a Friend in Me",44297
"2022-03-19 00:01","The Maine","Forevermore",171829
"2022-03-19 00:02","Twenty One Pilots","Legend",5422
"2022-03-19 00:02","Twenty One Pilots","Legend",948
"2022-03-19 00:02","Rex Orange County","Never Enough",33899
"2022-03-19 00:02","The Maine","My Best Habit",7095
"2022-03-19 00:02","The Maine","My Best Habit",2697
"2022-03-19 00:02","Twenty One Pilots","Leave the City",2075
"2022-03-19 00:07","Rex Orange County","Never Enough",298517
"2022-03-19 00:10","Twenty One Pilots","Legend",172560
"2022-03-19 00:21","The Maine","My Best Habit",72442
"2022-03-19 03:59","BTS","Permission to Dance",7326
"2022-03-19 03:59","Machine Gun Kelly","my ex's best friend (with blackbear)",586
"2022-03-19 04:02","BTS","Permission to Dance",180131
"2022-03-19 04:03","Twenty One Pilots","Good Day",83968
"2022-03-19 04:07","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",210959
"2022-03-19 04:11","Zack Tabudlo","Pano",254399
"2022-03-19 04:16","Adie","Tahanan",293727
"2022-03-19 04:19","Alfie Castley","Teenage Mona Lisa",198607
"2022-03-19 04:24","Gatton","When Scars Become Art",287557
"2022-03-19 04:28","mrld","Ligaya",248780
"2022-03-19 04:33","Arthur Nery","Pagsamo",296984
"2022-03-19 04:37","Zack Tabudlo","Habang Buhay",244067
"2022-03-19 04:40","Al James","PSG",180000
"2022-03-19 04:51","NIKI","Every Summertime",11616
"2022-03-19 06:58","NIKI","Every Summertime",204169
"2022-03-19 07:02","TREASURE","DARARI",220716
"2022-03-19 07:07","Adie","Paraluman",312309
"2022-03-19 07:11","Arthur Miguel","Dito, Sa Ilalim Ng Buwan",245204
"2022-03-19 07:16","NOBITA","Ikaw Lang",263500
"2022-03-19 07:28","Ed Sheeran","The Joker And The Queen (feat. Taylor Swift)",46200
"2022-03-20 06:02","Arthur Nery","Isa lang",197
"2022-03-20 06:02","ENHYPEN","Polaroid Love",0
"2022-03-20 06:02","Ed Sheeran","The Joker And The Queen (feat. Taylor Swift)",1203
"2022-03-20 06:02","Zack Tabudlo","Give Me Your Forever",1677
"2022-03-20 06:02","Zack Tabudlo","Give Me Your Forever",0
"2022-03-20 06:02","Justin Bieber","Ghost",0
"2022-03-20 06:02","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",1546
"2022-03-20 06:02","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",3777
"2022-03-20 06:02","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",0
"2022-03-20 06:02","GAYLE","abcdefu",0
"2022-03-20 06:02","Adele","Easy On Me",0
"2022-03-20 06:02","NOBITA","Unang Sayaw",0
"2022-03-20 06:07","Zack Tabudlo","Pano",254400
"2022-03-20 06:14","Adie","Tahanan",106860
"2022-03-20 07:38","Gatton","When Scars Become Art",1861
"2022-03-20 07:38","mrld","Ligaya",24834
"2022-03-20 07:38","Adie","Tahanan",6853
"2022-03-20 07:38","Arthur Nery","Pagsamo",401
"2022-03-20 07:38","Alfie Castley","Teenage Mona Lisa",1687
"2022-03-20 07:42","Zack Tabudlo","Habang Buhay",244067
"2022-03-20 07:46","Al James","PSG",180000
"2022-03-20 07:49","NIKI","Every Summertime",215686
"2022-03-20 07:53","TREASURE","DARARI",220716
"2022-03-20 08:04","Adie","Paraluman",69749
"2022-03-21 13:03","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",1881
"2022-03-21 13:03","Zack Tabudlo","Pano",2071
"2022-03-21 13:06","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",152436
"2022-03-21 13:10","Zack Tabudlo","Pano",254400
"2022-03-21 13:37","Adie","Tahanan",48549
"2022-03-22 11:46","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",210959
"2022-03-22 11:50","Zack Tabudlo","Pano",254400
"2022-03-22 12:04","Adie","Tahanan",11280
"2022-03-24 10:00","Zack Tabudlo","Pano",202373
"2022-03-24 10:03","Coldplay","My Universe - SUGA's Remix",188234
"2022-03-24 10:07","The Maine","Black Butterflies and Déjà Vu",203057
"2022-03-24 10:25","Rex Orange County","KEEP IT UP",119951
"2022-03-25 10:23","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",202751
"2022-03-25 10:27","NIKI","Every Summertime",215686
"2022-03-25 10:31","Zack Tabudlo","Habang Buhay",244067
"2022-03-25 10:44","Alfie Castley","Teenage Mona Lisa",148786
"2022-03-26 05:25","Gatton","When Scars Become Art",7754
"2022-03-26 05:25","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",3656
"2022-03-26 05:25","Alfie Castley","Teenage Mona Lisa",1663
